bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name,scorecard_id
Rashid Khan,10.0,0,44,2,4.4,36,3,1,3,0,Afghanistan,39th-Match,1384430
Noor Ahmad,10.0,1,53,0,5.3,36,4,2,1,0,Afghanistan,39th-Match,1384430
Mohammad Nabi,2.0,0,20,0,10.0,6,3,1,0,0,Afghanistan,39th-Match,1384430
bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name,scorecard_id
Shoriful Islam,9.3,0,51,2,5.36,33,7,0,1,0,Bangladesh,38th-Match,1384429
Taskin Ahmed,10.0,1,39,0,3.9,39,5,0,1,0,Bangladesh,38th-Match,1384429
Tanzim Hasan Sakib,10.0,0,80,3,8.0,27,8,4,2,0,Bangladesh,38th-Match,1384429
Shakib Al Hasan,10.0,0,57,2,5.7,23,1,3,0,0,Bangladesh,38th-Match,1384429
Mehidy Hasan Miraz,10.0,0,49,1,4.9,30,6,0,0,0,Bangladesh,38th-Match,1384429
Dilshan Madushanka,10.0,1,69,3,6.9,35,7,3,4,0,Sri Lanka,38th-Match,1384429
Maheesh Theekshana,9.0,0,44,2,4.88,34,6,0,3,0,Sri Lanka,38th-Match,1384429
Kasun Rajitha,4.0,0,47,0,11.75,7,5,3,0,0,Sri Lanka,38th-Match,1384429
Dushmantha Chameera,8.0,0,54,0,6.75,25,8,1,2,0,Sri Lanka,38th-Match,1384429
Angelo Mathews,7.1,1,35,2,4.88,24,4,0,1,0,Sri Lanka,38th-Match,1384429
Dhananjaya de Silva,3.0,0,20,0,6.66,8,3,0,0,0,Sri Lanka,38th-Match,1384429
bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name,scorecard_id
Lungi Ngidi,8.2,0,63,1,7.56,29,8,3,2,0,South Africa,37th-Match,1384428
Marco Jansen,9.4,0,94,1,9.72,28,15,1,7,1,South Africa,37th-Match,1384428
Kagiso Rabada,10.0,1,48,1,4.8,33,6,0,0,0,South Africa,37th-Match,1384428
Keshav Maharaj,10.0,0,30,1,3.0,32,0,0,1,0,South Africa,37th-Match,1384428
Tabraiz Shamsi,10.0,0,72,1,7.2,22,5,1,7,1,South Africa,37th-Match,1384428
Aiden Markram,2.0,0,17,0,8.5,4,1,1,1,0,South Africa,37th-Match,1384428
Jasprit Bumrah,5.0,0,14,0,2.8,23,2,0,1,0,India,37th-Match,1384428
Mohammed Siraj,4.0,1,11,1,2.75,18,1,0,0,0,India,37th-Match,1384428
